date,max_temp,min_temp
2026-08-15,32.7,25.3
2026-08-16,33.7,22.9
2026-08-17,32.2,25.7
2026-08-18,32.4,22.9
2026-08-19,32.6,23.0
2026-08-20,32.4,24.8
2026-08-21,32.6,24.9
2026-08-22,32.9,24.8
